tgfad, Goodmorning,0.15213956
Calm down, JC ... Don't get outta pocket now ... \ud83d\ude12 #VMA2013,0.083999306
Bitches crazy doe b,0.7856813
Dey ttg,0.03309893
\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude29\ud83d\ude29,0.049089402
@TrevellAnderson don't you do that to her,0.06421452
"Doom just called me \Cappicino\"" I'm dead lol""",0.16043124
Fresh out tha showah,0.08716487
@_SLiMderella \ud83d\ude02\ud83d\ude02\ud83d\ude02,0.015519086
@smodeste Amen Sherman lol amen!,0.008482091
@rated_et oh that's the ish,0.046120718
@OldSkoolYoungin sweet tea lol,0.02308189
@Ayyocam_ NF,0.01426248
Trey songz x Fumble,0.027206551
GM TGFAD &amp;&amp; My Son &amp;&amp; Family :)),0.03781283
If I Fuck Witcha Ima Give Ya Straight Drop , If Ion Know Ya Then I Gotta Remix Ya,0.76523775
Gotta headache,0.24282593
@HallieNeutch fb,0.035691574
Aye \ud83d\ude12 @__MinionJ,0.026617315
\u201c@CHASemydreams: @Savage_4_Pres @Tellllyyy_ lol! We know 1 thing. Twerk Anthem\u201d \ud83d\udc4f\ud83d\udc4f\ud83d\udc4f,0.16678599
Qa jq##,0.055026773
They Done Lock My Lil Nigga Up! Free @Futurestar_34,0.49139655
@Rvchvel Rachellllllllllllllllllllll,0.004335291
They go hard,0.12867521
tell her bout herself,0.06263174
Where is @itsjustE2 lol i need a song to get me through lol,0.10175867
Woke up in a wonderful mood. Too bad it's not pay day tho,0.034984488
NFB @dboe100,0.012440401
I know her ugly ass seen me at her,0.8252207
I wanted to curse out and fight... but I took a step back and breathed... took a moment to understand and to be understood,0.35186127
Man I'm up on da early side nd shit hot asf Doe.........,0.3389984
It's no way a chic living wit me without a ring on that finger... Hell the bitch aint even gettin a key... Fucc u need a key for,0.89241093
@DrDonTaylor not as much as black folk but eh,0.39231625
My most random tweets get retweeted lol...,0.05725329
Hot salt buttered popcorn,0.025320992
@C_R_C_J lol riiiight,0.018723432
Hope he know I gotta fuckin attitude,0.7570315
I heard one of my neos is over here... bet!,0.06104896
@_xjassmine wwhere u at,0.033806015
@GuilfordAve yea,0.0109324735
@_BlackPooh Thats wat I was gone get anyway boo,0.05205809
Walking to the store to get swishers &lt;&lt;,0.034277402
@IloveHoneyDip frat got u lol,0.2855005
NFB @97lightbright,0.016712861
@True_2_Mines50 TRUST ME I KNOW,0.018723432
@_GHosT_MH crazy yo,0.25084448
Lil Scrappy x No Loce,0.10956833
What whaaat? You off,0.23739935
@MOKICKSTHANYOU KMSL damn why I got to be tho lol,0.36456755
@pinkblossom_21 Yesss me too it's on repeat right now lol,0.036870047
Hell Naww Ima Help You Make That Bitch Behave Llf,0.88599813
took courage... real courage,0.031331215
when i say the reason why im mad people be likee u ah baby \ud83d\ude11,0.3977292
Fellowship apps...,0.013885498
Huh I'm Sleepy,0.04067813
@IrreplaceableJ lol,0.023317585
That's how you like it-8-,0.04760506
Trying to see do I need to get him some white shoes or not??? Hmmm,0.07845957
People love to belittle weed smokers... I don't get that... at all.,0.10783285
:-D,0.0143253105
I need some herb.....,0.043646812
She Need To Text M\u0119 Mannnn!,0.11479026
I so deserve it!,0.03734144
I need to make some calls... but I got to stick to my goal to last until Monday...,0.016021729
Smh... I was just thinking about black male actors and looked up that guy...,0.3625127
EVERY nigga got that one Girl they NEVA letting Go,0.6852916
Stop and frisk shall be no more...,0.07608539
Mamma Imma Be Like Gucci When I Grow Up!,0.11652588
Niggas Be Crazy,0.7701451
You type nigga my niggas a send to the store bruh won't even let you hit the weed I know this for sure bruh.,0.76523775
\u201c@LittleMsMills: @SiMoan_ ahaaha the truck driver and the boxes! Ah ah ah ah! Quarantinee\u201d lol I swear!! After WASSCE boredom \ud83d\ude11,0.2412222
Ion even feel like smoking or eating man.,0.11150667
Badd out COMESSS,0.12260055
#TeamCowboys,0.01017851
Feeling refresh.......,0.012880214
Somebody call me!!!,0.045873325
Pizza and a film... gnight,0.027088705
@Savage_4_Pres \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 aw mane I forgot let me hurry up and finish it,0.23739935
Seagames hambar. LoveGame manis manis asem -Seorang Playboy,0.18174082
Who wanna go to chillis and drink,0.049089402
@jaybmonroe here u go lol,0.039935954
I sip lean pure codeine.,0.11036996
Lips fall off around the world...,0.103060275
@Im_XtraGramSam hml bro,0.016021729
@KillaKal080 \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 lmao man spiiiinn,0.09741997
#nw #fixmylife,0.030388435
hey hey hey,0.028856417
Food then work,0.02343543
??? Damn,0.37751234
let me stop before I get in trouble ;-),0.049584184
@_sauud @IllXLXXXCVlll who u buy polo tees yo?,0.1182615
Gahh damn,0.22311419
Trying to calm my nerves,0.06817148
@A_itzFranklin late September,0.009047564
\u201c@QuietlyStandout: Yeah I'm not drinking again or am I lol\u201d so you got drunk lol,0.37751234
@DeMK1992 he is gone? lord who else???,0.027677942
Nigga hungry AF yo gotdamn,0.681338
@BoxdenFresco @thaG5 \ud83d\ude02\ud83d\ude02\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d,0.022021262
@MoneyMakinMoola Lmao, Just Chill Bro Cause U.O.E.N.O,0.07054565
\ud83d\udc40,0.03545588
